# BUSCO version is: 4.0.6 
# The lineage dataset is: metazoa_odb10 (Creation date: 2019-11-20, number of species: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length
5951at33208a	Duplicated	transcript_4678	2837.2	1360
5951at33208a	Duplicated	transcript_5371	2594.6	1255
9639at33208a	Fragmented	transcript_23587	305.0	145
13816at33208a	Fragmented	transcript_13875	786.1	559
14776at33208a	Missing
16244at33208a	Complete	transcript_1077	2385.8	1679
40200at33208a	Missing
45934at33208a	Missing
49474at33208a	Duplicated	transcript_11066	250.9	578
49474at33208a	Duplicated	transcript_5799	249.0	752
50756at33208a	Complete	transcript_7510	235.7	569
56573at33208a	Missing
57158at33208a	Duplicated	transcript_7832	1710.9	1057
57158at33208a	Duplicated	transcript_9195	1654.1	1024
57158at33208a	Duplicated	transcript_6242	1594.3	978
63697at33208a	Duplicated	transcript_10333	1849.4	934
63697at33208a	Duplicated	transcript_11744	1841.6	887
63697at33208a	Duplicated	transcript_14938	1730.2	806
64435at33208a	Missing
65302at33208a	Missing
66018at33208a	Duplicated	transcript_3219	1305.6	858
66018at33208a	Duplicated	transcript_6331	1210.5	757
75406at33208a	Duplicated	transcript_23446	408.3	535
75406at33208a	Duplicated	transcript_17844	408.1	534
76852at33208a	Missing
84980at33208a	Duplicated	transcript_9380	758.5	619
84980at33208a	Duplicated	transcript_8398	758.2	619
84980at33208a	Duplicated	transcript_10595	654.5	555
88053at33208a	Missing
92367at33208a	Missing
99614at33208a	Missing
99987at33208a	Complete	transcript_21052	279.0	431
102804at33208a	Duplicated	transcript_9881	1014.3	897
102804at33208a	Duplicated	transcript_9288	1014.1	897
102804at33208a	Duplicated	transcript_8674	1012.7	897
103854at33208a	Complete	transcript_15706	250.8	633
107151at33208a	Duplicated	transcript_13771	1180.1	781
107151at33208a	Duplicated	transcript_17026	1029.7	693
107574at33208a	Missing
108764at33208a	Missing
109109at33208a	Complete	transcript_19101	987.9	605
111730at33208a	Duplicated	transcript_18385	733.4	617
111730at33208a	Duplicated	transcript_22978	662.6	539
111746at33208a	Missing
114954at33208a	Fragmented	transcript_14232	132.1	210
115878at33208a	Complete	transcript_29968	287.1	251
118209at33208a	Duplicated	transcript_6229	900.5	811
118209at33208a	Duplicated	transcript_11427	785.0	479
119252at33208a	Duplicated	transcript_17317	788.6	545
119252at33208a	Duplicated	transcript_18903	774.7	530
119591at33208a	Complete	transcript_7450	1303.9	992
121127at33208a	Complete	transcript_7610	427.6	531
123923at33208a	Missing
124302at33208a	Missing
127766at33208a	Duplicated	transcript_11963	617.0	620
127766at33208a	Duplicated	transcript_13852	578.6	597
129179at33208a	Complete	transcript_21138	132.0	406
130245at33208a	Missing
130256at33208a	Duplicated	transcript_19635	292.1	542
130256at33208a	Duplicated	transcript_21345	285.4	538
131349at33208a	Complete	transcript_15377	708.8	570
131848at33208a	Duplicated	transcript_11615	424.8	432
131848at33208a	Duplicated	transcript_10370	424.2	432
131848at33208a	Duplicated	transcript_8742	423.6	432
132087at33208a	Missing
134492at33208a	Missing
135294at33208a	Missing
137383at33208a	Missing
139188at33208a	Complete	transcript_16013	571.6	605
143619at33208a	Duplicated	transcript_20402	257.5	295
143619at33208a	Duplicated	transcript_18371	257.2	295
143619at33208a	Duplicated	transcript_7107	254.3	295
143997at33208a	Missing
146671at33208a	Complete	transcript_8463	851.2	704
147873at33208a	Missing
148067at33208a	Complete	transcript_21655	98.9	415
148325at33208a	Complete	transcript_24543	274.2	275
152327at33208a	Complete	transcript_17184	314.2	351
152977at33208a	Missing
153034at33208a	Duplicated	transcript_22836	635.8	501
153034at33208a	Duplicated	transcript_23268	635.7	501
153034at33208a	Duplicated	transcript_22358	635.6	501
157109at33208a	Missing
157138at33208a	Missing
158845at33208a	Duplicated	transcript_20651	195.9	391
158845at33208a	Duplicated	transcript_19374	194.5	417
158845at33208a	Duplicated	transcript_19015	194.4	417
158962at33208a	Missing
162821at33208a	Duplicated	transcript_12534	542.9	410
162821at33208a	Duplicated	transcript_10985	542.6	410
162821at33208a	Duplicated	transcript_10401	542.5	410
164767at33208a	Missing
166097at33208a	Complete	transcript_17108	677.3	491
168850at33208a	Missing
168924at33208a	Duplicated	transcript_9310	488.2	559
168924at33208a	Duplicated	transcript_8916	488.1	559
168924at33208a	Duplicated	transcript_11367	471.7	550
169864at33208a	Missing
172677at33208a	Duplicated	transcript_15621	110.8	171
172677at33208a	Duplicated	transcript_14819	110.6	171
176247at33208a	Complete	transcript_25143	339.0	323
177718at33208a	Missing
177858at33208a	Complete	transcript_18955	864.0	583
178537at33208a	Complete	transcript_26818	935.6	465
179485at33208a	Missing
180808at33208a	Complete	transcript_13278	740.7	480
182834at33208a	Complete	transcript_27833	213.4	422
184508at33208a	Missing
184717at33208a	Missing
186208at33208a	Duplicated	transcript_11527	991.7	701
186208at33208a	Duplicated	transcript_12788	969.6	683
186208at33208a	Duplicated	transcript_13850	895.2	640
186707at33208a	Missing
187280at33208a	Duplicated	transcript_18597	706.4	518
187280at33208a	Duplicated	transcript_18142	706.3	518
187280at33208a	Duplicated	transcript_17712	706.2	518
189414at33208a	Duplicated	transcript_14981	113.8	343
189414at33208a	Duplicated	transcript_14798	113.8	343
190726at33208a	Duplicated	transcript_25757	528.8	393
190726at33208a	Duplicated	transcript_27914	518.3	386
190726at33208a	Duplicated	transcript_26910	482.2	394
191938at33208a	Missing
192250at33208a	Missing
194754at33208a	Duplicated	transcript_12959	1060.8	773
194754at33208a	Duplicated	transcript_12574	1060.8	773
194754at33208a	Duplicated	transcript_13495	1053.4	773
195986at33208a	Missing
196950at33208a	Duplicated	transcript_20843	457.6	586
196950at33208a	Duplicated	transcript_24002	441.1	537
197549at33208a	Complete	transcript_15589	68.4	334
197652at33208a	Duplicated	transcript_28255	712.0	436
197652at33208a	Duplicated	transcript_27473	711.9	436
200997at33208a	Missing
201397at33208a	Missing
202545at33208a	Duplicated	transcript_17600	375.0	443
202545at33208a	Duplicated	transcript_22328	368.0	412
203128at33208a	Complete	transcript_25821	856.9	438
203698at33208a	Missing
205220at33208a	Complete	transcript_15957	458.8	630
206786at33208a	Duplicated	transcript_31007	400.4	371
206786at33208a	Duplicated	transcript_29571	400.0	371
206858at33208a	Missing
207599at33208a	Missing
208219at33208a	Missing
210614at33208a	Missing
212972at33208a	Missing
214788at33208a	Duplicated	transcript_19668	486.0	518
214788at33208a	Duplicated	transcript_18925	485.8	518
214788at33208a	Duplicated	transcript_17758	485.8	518
215654at33208a	Complete	transcript_27749	537.0	408
216257at33208a	Missing
216563at33208a	Fragmented	transcript_31277	60.7	134
218441at33208a	Missing
219795at33208a	Complete	transcript_11419	390.1	518
219856at33208a	Complete	transcript_27854	597.9	394
222489at33208a	Complete	transcript_25768	638.1	367
